"","datasongsmetadata.artist_name","datasongsmetadata$song_id","datasongsmetadata$title","datasongsanalysis$track_id"
"1222","Festival","SOJOBPR12A8C13A022","Festival Resurrection (Outro)","TRAXJWH128F42654DC"
"1223","Martina McBride","SOALEHA12A8C13ECB3","Thanks A Lot","TRAXJVO128F42AC534"
"1224","Christophe Beck","SOFLXUY12A8C1364F6","Why Jack Called","TRAXJHY128F426BE4C"
"1225","Amanajé","SOSCXBY12A8AE469FF","Herval na percaria","TRAXJYB128F422A5C0"
"1226","Jets","SOFOFCW12AC468DFC5","Alligator Come Across (Live)","TRAXJUF12903D0F11F"
"1227","Nicho Hinojosa","SOGHTLP12AB0187CE8","Tus Viejas Cartas","TRAXJOA128F93474E8"
"1228","Cali","SOCVAKZ12AB0184D4F","Un nuovo giorno","TRAXJIS12903CCAF92"
"1229","The Tarriers","SOVTKCZ12A8C133DC1","Dark As A Dungeon (LP Version)","TRAXJMF128F42555AB"
"1230","Sukhwinder Singh","SOSPFTC12AB018E880","O Raaje","TRAXJEL12903CEBC7E"
"1231","Jaguares","SOGBKCK12AF72A0051","Esta Muy Claro","TRAXJGB128F93476D7"
"1232","Sick Of It All","SOQDCJO12A6701C086","Consume (LP Version)","TRAXJBW128E0788652"
"1233","Fun Lovin' Criminals","SOHRYJO12A8AE45E9D","Love Unlimited (Remix) (Explicit)","TRAXIBJ128F4238364"
"1234","Blind Boy Fuller","SOREKVX12A8C13887F","Precious Lord","TRAXIIG128F427E41A"
"1235","Jah Debda","SOGWPOW12A8C142356","Eastern Magic","TRAXIEJ12903CF24C8"
"1236","Jonn Serrie","SOWFTOP12A6D4F6E3D","Gentle; the Night (from And the Stars Go With You)","TRAXIRB128F1453629"
"1237","Carpenters","SOGDOEZ12A6D4F9FBF","An Old Fashioned Christmas","TRAXIPO128F14923B2"
"1238","Tam Tam Go!","SOTUHTD12A8C133D88","Belleza Pasajera","TRAXIES128F426C8F0"
"1239","Goatwhore","SOESPEB12AB018193D","Sky Inferno","TRAXIYW12903CB4343"
"1240","Pepe Kalle","SOZKTRT12A58A7CF13","Roger Milla","TRAXIYH128F92EE3B3"
"1241","Stephan Micus","SOAZOFQ12A81C20B43","For Abai and Togshan","TRAXIQA128F422C8C7"
"1242","fIREHOSE","SOFKDPV12A8C131B03","Towin' The Line","TRAXIVK128F42628CA"
"1243","Bobby Vee","SOJUJSM12A6D4FAE9B","The Story Of My Life","TRAXIPR128F14882B2"
"1244","Ray Kane","SOTYEJF12AB018D2C2","Keiki Slack Key (Instrumental)","TRAXIBJ12903CE2CB8"
"1245","Montserrat Caballé/Royal Philharmonic Orchestra/Lamberto Gardelli","SOGNZTE12A67AD8518","Guillaume Tell_ Acte II (1988 Digital Remaster): Ils s'éloignent enfin....Sombre forêt","TRAXIDU128E0798B24"
"1246","Yvette Horner","SOBFXLE12AB0183D1A","En Souplesse","TRAXIXV128F932E2C2"
"1247","Pat Metheny","SOHGOUQ12A8C145269","Letter from Home","TRAXHEX128F92D28D4"
"1248","When Dinosaurs Ruled The Earth","SONWGAE12A6D4FE8E6","Glee Club","TRAXHJU128F421E16B"
"1249","Gregory Isaacs","SOBTQJS12AB017E85E","Out Deh","TRAXHFE128F93065A9"
"1250","Devanic","SOKTPEY12AB018170C","You Live_ You Die","TRAXHFY128F932E4E7"
"1251","Jimmy Burns","SOXOTFT12AB01826AB","Rollin' And Tumblin'","TRAXHTV128F934E987"
"1252","Patrick Saint-Eloi","SOMOYIF12AB01838BF","An Plas'ay","TRAXHYT128F932C2EC"
"1253","Barry Künzel","SOAJXVE12A6D4F5749","Supervisor (Instrumental) (edition Tromo/Rückbank)","TRAXHRJ128EF356C79"
"1254","Corderoy & U4IC DJ'S","SOGGCHY12AB018C6E9","3 Spirit","TRAXHPS12903CB6C3D"
"1255","Raphael","SOWXUNJ12A58A7E1A4","Cierro Mis Ojos","TRAXHQZ128F4278712"
"1256","Donna The Buffalo","SOHGLOP12AB017DC66","Broken Record","TRAXXOL128F92E7529"
"1257","Günter Noris","SOUTUFC12A8AE4706A","Bye-Bye - Medley","TRAXXUM128F4244507"
"1258","The Gathering","SOFVHDU12A67ADE7AA","Locked Away","TRAXXWU12903CF2094"
"1259","Arthur Brown","SOGGMZY12A6701FE43","Child Of My Kingdom","TRAXXVN128E0791AE4"
"1260","Tom Cochrane","SOTWQOG12A6D4F9421","Paper Tigers (acoustic version)","TRAXXGI128F14688C7"
"1261","Igor Stravinsky;Columbia Symphony Orchestra","SOBUUZH12AF72A5BBC","Le Sacre du Printemps (The Rite of Spring)/Part One: The Adoration of the Earth - Introduction","TRAXXZP128F427ACA6"
"1262","Eddie Cano","SOBBJRO12AB01892B8","Blue Satin (Album Version)","TRAXXTG128F932B324"
"1263","Derek Bell","SOQDIQK12A8C13CB23","Sake In The Jar","TRAXXEI128F4293139"
"1264","Janie Fricke","SOPFSDI12AAF3B4929","Let's Stop Talkin' About It","TRAXXQA128F9301855"
"1265","Kary Ng","SOTCACH12A6D4F7788","Ai Ni Bian Cheng Hen Ni","TRAXXTA128F146BCA7"
"1266","Owsley","SOVBPAE12AB01862BF","The Homecoming Song (Album Version)","TRAXXYI12903CC4FDC"
"1267","Henry Lee Summer","SOHLVJA12A8C131840","I Wish I Had A Girl","TRAXXIT128F4263075"
"1268","Jackie Wilson","SOQVOUZ12AC468B719","Each Time (I Love You More)","TRAXXJZ12903CF1731"
"1269","Nacho Chapado feat. Stephen Massa","SOSEPVE12AB017F984","B Somebody","TRAXXKJ128F92FDCD2"
"1270","The Villas","SOKJEMV12A8C1374AD","To Be In Love","TRAXOIQ128F4279F9C"
"1271","Will Ackerman","SOCFGRK12A8C137C8C","A Movie Of A Placid Lake On A Moonless Night In September - Reprise","TRAXOPF128F428B670"
"1272","The Berzerker","SORGPNH12AF72AB8C0","Pure Hatred","TRAXOQD12903CDD59D"
"1273","Juice Leskinen","SOEDSFB12AB018678D","Sietämätön mies","TRAXOVX128F93439DB"
"1274","Hoods","SOBVBID12A8AE474E3","Suffer","TRAXOOY128F42280B0"
"1275","Natalie Cole","SOHBOKB12AB018523D","Busted","TRAXOWL128F9343C95"
"1276","5 Blind Boys Of Alabama","SOHOHZQ12A8C134AAB","If You Don't Pray For Me","TRAXOHK128F42514BE"
"1277","Mungo Jerry","SOTDUIP12AB017EDD5","Pushbike Song","TRAXOQP128F930DD49"
"1278","Marco Beltrami","SONEXQJ12AAF3B2A3D","Not A Kid Anymore","TRAXMDR128F92E4AF7"
"1279","Ricky Martin","SOQLAEP12A8C1372F1","Fuego De Noche_ Nieve De Día","TRAXMUC128F4273749"
"1280","Inhume","SOACNSF12AB0184B05","Process to decelerate","TRAXMDO128F9342A54"
"1281","Chet Atkins","SOWIOVE12AB0183FF9","Bourrèe","TRAXMLO128F933BC5E"
"1282","Don Francisco","SOUGLNY12A8C135E6D","Righteous Disgrace","TRAXMZA128F42645F3"
"1283","Radiohead","SOVAHZK12A6310F23C","Fake Plastic Trees (Acoustic Version)","TRAXMAK128E07822CB"
"1284","Carlos Ponce","SOXAMTJ12A58A7CD18","Quiero","TRAXMWV128F14612AB"
"1285","Henri Pousseur","SOOLIPF12A8C13B0A2","Parabolics Studies 8","TRAXMJB128F427089F"
"1286","Bob Margolin","SODYKGH12A6D4FD729","Ice Or Fire","TRAXMHR128F421A89B"
"1287","Grant And Wilson","SOKEQPR12AB018450F","Find Me At the Greasy Spoon","TRAXMMF12903CA3B15"
"1288","The Stolen Minks","SOOKARV12A58A79B73","Your Broken Heart","TRAXMNP128F9339BA3"
"1289","Pacha Massive","SOUECYK12AAF3B3AC7","Don't let go","TRAXMNY12903CB5207"
"1290","Walter Trout","SOZPMSM12AB018A95F","Running in Place","TRAXRRI128F93610C3"
"1291","Babylon Disco","SOODIJF12A8C13FDBB","Funk You","TRAXRUB128F92DF1CF"
"1292","Negura Bunget","SOWUJXU12AC468EA08","Tara De dinicolo De Negura","TRAXRHD12903CF0EAB"
"1293","Messy Marv featuring Clover Geez","SOCAKIC12AC46881B9","Still Ballin","TRAXRPG12903CEDD73"
"1294","Marilyn Scott","SOLOWOD12AB0180EB5","Take Me With You","TRAXRAA128F931DFC4"
"1295","Jacques Dutronc","SOBAUUL12A8AE4817B","Les Playboys (Version Espagnole)","TRAXRLN128F425C047"
"1296","Bad Religion","SOBMNXE12A8C140F8A","Infected","TRAXRSK128F42B44D2"
"1297","Beastie Boys","SOHLMRI12AB0180B3D","Flute Loop (2009 Digital Remaster)","TRAXRGF128F930A59F"
"1298","Curtis","SOCYJPN12A8C13AF0E","Not Going Back Again","TRAXRQZ128F4285FE5"
"1299","Dax Riggs","SOPAOCV12A6D4FB022","Ouroboros","TRAXRWA128F42464CD"
"1300","Murskahumppa","SOCNJZO12AC468D1F5","Stora kusetus","TRAXRLL12903D02559"
"1301","Crazy Horse","SOEKQOA12A6D4FAEA3","Dirty_ Dirty  (Album Version)","TRAXYUH128F149EA4E"
"1302","Dean Martin","SORFQYM12A58A7CEAF","That Old Gang Of Mine","TRAXYGX128F93158FC"
"1303","Jim Smoak & The Louisiana Honeydrippers","SOVYLBG12A6D4FA9EB","Old Dan Tucker","TRAXYQF128F42171A7"
"1304","Angela Dimitriou","SOUGGOX12A8C13556D","Ta Methismena S' Agapo","TRAXYWT128F427C9FD"
"1305","Sister Rosetta Tharpe","SOATHRP12A8C13407D","What He Done For Me","TRAXYCY128F42409F3"
"1306","Rhinoceros","SOOVNRV12AC468964C","One More Breath","TRAXYSO12903D0D0CD"
"1307","Margaret Becker","SOWJFHF12AF72A7603","Just Come In","TRAXYPP128F92F9111"
"1308","Shunza","SOGKIQY12A8C1392B2","Happy","TRAXYZL128F4271A36"
"1309","Stefon Harris","SOHCDBQ12A8C13D2FF","For You Mom & Dad","TRAXYUW128F42981D3"
"1310","The Presets","SOIQNWY12A67AD87D3","Truth And Lies","TRAXYGR128EF3456B5"
"1311","Five Fingers of Funk","SOMVNKZ12A6D4FC54F","Posters","TRAXAHC128F421D3C3"
"1312","Peret","SOUTGSH12AB01844C1","Clavo Y Martillo","TRAXASE128F9325369"
"1313","John Berry","SOKSBBB12A6D4F653A","Ninety Miles An Hour","TRAXALK128F1462FF7"
"1314","The Jam","SOUDAKO12A6D4F6A89","Start!","TRAXAAS128F146B741"
"1315","Vulgar Pigeons","SOZTOAE12A8C142E86","O.R.P.","TRAXAIT128F92D80C6"
"1316","Gym Class Heroes","SOVAASF12A8C13941E","Simple Livin' (Album Version)","TRAXAMO128F4289D24"
"1317","Tullycraft","SOUAFIJ12A58A7CC67","Loveless","TRAXATR128F4244382"
"1318","Captain Hollywood Project","SOKQYMF12AB0180F2A","Find Another Way","TRAXAOX128F930DB6B"
"1319","Why?","SOMICNN12A6D4FB16E","Sanddollars","TRAXAJF128F4216398"
"1320","K.I.Z.","SOTNYOE12A8C136ACD","Freiwild","TRAXAZZ128F4255FAF"
"1321","50 Cent","SOFJSYG12A8C141D50","In Da House Skit","TRAXATF128F42AAA52"
"1322","Richi M.","SOIKIJC12AB01839D1","Popcorn","TRAXAYE128F9354352"
"1323","Montserrat Caballé;Eugenio  Marco","SOASWGE12A8C13A206","Bohemios: No quiero que sepa que aquí vengo yo (Gypsies: I don't want him to know that I am here)","TRAXBJX128F428A6A9"
"1324","Mighty Diamonds","SODOOMJ12AB0185178","Searching","TRAXBYD12903C956EF"
"1325","D'Molls","SOVGOEH12AB0189841","Father Time (Album Version)","TRAXBKH128F9343764"
"1326","Bob Wills","SOFRCOR12A8C13DCE7","South","TRAXBLT128F42A2099"
"1327","Aisha Duo","SOUGLCH12A8C140306","Beneath an Evening Sky","TRAXBLJ128F92EEBB1"
"1328","Penguin Café Orchestra","SOFGXTD12A6D4F8861","Harmonic Necklace","TRAXBUC128F1469548"
"1329","Hatiras","SOSZMFP12AAF3B5692","Final Flash","TRAXBYL128F92DA505"
"1330","H-Town","SORUPAW12A8C134375","Sex Dance","TRAXBUJ128F4247432"
"1331","Dead To Me","SOOFFET12AB0181D0D","What's Wrong","TRAXBVE128F932BD11"
"1332","Michael Convertino","SOFUYVH12A6D4F9FF3","Main Title [Bodies_ Rest & Motion] (2006 Remastered LP Version)","TRAXBKM128F14A5885"
"1333","Danielle Bollinger","SOHAMPZ12AB018AB4A","When the Broken Hearted Love Again","TRAXBTV12903CD8399"
"1334","Sub Focus","SOOEUXS12AB018AB2F","Juno","TRAXBFN12903C9D50E"
"1335","Sébastien Roch","SOAUTVB12AB018AFF0","","TRAXBZR12903CDCA82"
"1336","Oscar Peterson Trio","SOMCIAU12AAF3B5665","Night And Day","TRAXNYL128F92DA2B1"
"1337","Los Iracundos","SOCZRVD12AC468F110","Siempre Soy Tu Barquito De Papel","TRAXNZQ12903D11EC6"
"1338","Tigerstyle","SOHRTOF12A6D4F989E","Bonus Track","TRAXNLL128EF34EF9F"
"1339","Seventh Day Slumber","SOXJXPH12A58A7E199","Sabados","TRAXNVF128F4252B36"
"1340","Stephan Micus","SOIKYQE12A81356CFD","Mikhail's Dream","TRAXNWF128F422936F"
"1341","Stanley Clarke","SOXRDDV12A8C1380DD","Cruisin'","TRAXNJW128F427E124"
"1342","Sandy Lam","SOGEAPM12A8C137932","Zhan Zai Di Yi Pai","TRAXNQF128F4272F68"
"1343","Mart'nália","SOKCJCW12A8C141987","Nas águas de Amaralina","TRAXNMN128F4294EA6"
"1344","Intars Busulis","SOCYXEO12AB01821FA","?o???? DJ","TRAXNKN128F9340C11"
"1345","Cass Fox","SOSKOIH12A6D4F8956","Touch Me","TRAXNOE128F149158A"
"1346","Soul Asylum","SOQTFNI12A8C140C91","Slowly Rising","TRAXNKL128F42AFD92"
"1347","Galactic","SOMBFHE12A8C13A99B","Think Back","TRAXSUN128F426D36B"
"1348","Spade Cooley","SOMRISS12A6D4FE3D0","Its Dark Outside","TRAXSQC128F4223E30"
"1349","ARRESTED DEVELOPMENT","SOSMONK12A8C139059","Natural (2002 Digital Remaster)","TRAXSWS128F4254E1A"
"1350","99 Posse","SOQZTQP12AB0180D25","Salario Garantito (Versione Strumentale)","TRAXSYH128F9307A73"
"1351","Stockhausen Waterman","SOIGQTL12AAF3B2208","String 'Em Up","TRAXSNZ128F9306CAB"
"1352","Dave Hollister","SOBPRPP12A8C13D3EE","I Know I Can","TRAXSBC128F42AB297"
"1353","Toots & The Maytals","SOIVYLE12A67020ED4","It's You","TRAXSWX128E0792BEF"
"1354","Ann Lee","SOGUUJV12A8C137B8D","Hold the key","TRAXSMG128F4261743"
"1355","Cookies","SOPCIDC12A8C136984","Yan Chin","TRAXFJP128F42686A9"
"1356","Steve Vai","SOEMAZF12A8C131697","Fever Dream","TRAXFXT128F426A33A"
"1357","Bonita & Jerry Cormier","SOQGZXC12AC4685ED6","Dans un grand mur","TRAXFNM12903CE90D4"
"1358","DJ X-Change featuring Joey A","SOYBHQN12AC4687264","Drop Low","TRAXFKX12903CE898E"
"1359","Slackbaba","SOKCQWQ12AB0189111","And The Beat Goes Om","TRAXFBO12903CDFCFC"
"1360","Ebba Forsberg","SOJWIRI12AB01841A7","Halleluja","TRAXFTO12903CAEA49"
"1361","Peggy Lee","SOPXWCI12AB0188DE6","It Never Happened To Me","TRAXFVD128F933E94A"
"1362","Monty Are I","SOUPLIR12A81C206C4","O Brother","TRAXDAH128F422BBFC"
"1363","Missy Higgins","SOSHHXZ12A58A7924C","The Special Two (Australian Version)","TRAXDBM128E0785BD8"
"1364","Dwight Twilley","SOOHXQA12AC468C52D","Tulsa Girl","TRAXDJG12903D042A2"
"1365","Caspian","SOXSYXR12AB017D599","The Dropsonde","TRAXDFV128F93180C0"
"1366","Jimmie Davis","SOTSJZT12AC4686F5F","Jimmie's Travellin' Blues","TRAXDVL12903D0C503"
"1367","Marco Beltrami","SOPUGFD12A6D4FB501","Nomads Alive","TRAXDPS128F14AD21B"
"1368","Michael Gettel","SOLKNXC12A8C13577F","Memory In The Snow","TRAXDZH128F425C673"
"1369","Cabas","SOJCPRJ12A8C13AFF0","Likua","TRAXDFA128F427CCE7"
"1370","Wendo Kolosoy","SOFTJHT12AB0180955","Soki Olingi Ngai","TRAXDDY12903C93E27"
"1371","Dropkick Murphys","SOOHUOU12A8C1399A5","The Only Road (Album Version)","TRAXDRW128F428A030"
"1372","Kati","SORBVLK12A8AE46DEC","Il Tempo Non Torna Più","TRAXDLB128F423F8F8"
"1373","Faces","SOEZDAP12AB0184409","My Fault (LP Version)","TRAXDNU128F9341CDE"
"1374","Asha Puthli","SOBJQJR12AB0187CB3","Asha","TRAXDCY128F932ECDA"
"1375","Kanye West / Consequence / Cam'Ron","SORUAXY12A67020A4B","Gone","TRAXDML128E079159C"
"1376","Zbigniew Preisner","SOLXKCY12A81C20EFC","Colin Tries Standing","TRAXDEF128F4253194"
"1377","Mr. De'","SOSZNCW12A8C13F031","Mr. De's Theme","TRAXEBW128F4292391"
"1378","Sonny Terry","SOJHNUQ12AB0186526","My Baby Likes To Shuffle","TRAXEAY128F931C3D0"
"1379","The Marx Brothers","SOKUQTD12AB0186577","Un jour aux courses: Who's That Man","TRAXEDF12903CD5DFB"
"1380","Lizzy Borden","SOBWOOT12AB0183896","The Darker Side","TRAXEML128F934BC04"
"1381","Laurie Berkner","SOMRQXT12AB017F9E9","Zodiac","TRAXEYV128F932CD95"
"1382","Eric Champion","SOACNEJ12A6D4F6AB6","Why Do We Do?","TRAXEQE128EF35CB1C"
"1383","Gerald Veasley","SOSAMRR12AB018203B","On The Fast Track","TRAXEWH12903CF66CB"
"1384","Bob Cheevers","SOLORFT12AB0189D11","Memphis Til' Monday","TRAXEUB12903CBAA99"
"1385","Wednesday 13's Frankenstein Drag Queens From Planet 13","SORKXUS12A8C13E89B","Plan 9 From Outer Space (Album Version)","TRAXEID128F92E0922"
"1386","Al Rapone","SOEORHY12A6D4FD453","Chere Duloone","TRAXECH128F421B47F"
"1387","My Chemical Romance","SOQSNYP12A8AE47348","You Know What They Do To Guys Like Us In Prison (Album Version)","TRAXEHW128F423E590"
"1388","Mayday","SOUSOTU12A8C13A8E4","Dave D. Blues (how To Make It Sting Like A Career) (Album Version)","TRAXEAE128F42930AA"
"1389","KMD","SOFYQSO12AB018A0DA","Get-U-Now","TRAXLYT128F9348137"
"1390","Dorothy Norwood","SOPRPKO12A58A7D934","No Storm","TRAXLOW128F42542A6"
"1391","Jordan & Baker","SONBXVT12A67ADC81D","Explode (Epic Extended Mix)","TRAXLLA128EF33DB69"
"1392","Freddie McGregor","SOFHWUZ12A8AE48B9D","YOUR LOVE","TRAXLRT128F4238A87"
"1393","Rick Astley","SOCWJDB12A58A776AF","Never Gonna Give You Up","TRAXLZU12903D05F94"
"1394","The White Stripes","SOPRMDL12A8C13CAF6","A Martyr For My Love For You","TRAXLPR128F428E466"
"1395","Wayne Kramer","SOKTKBH12A8C136F97","Bad Seed","TRAXLLN128F428B982"
"1396","The Irish Rovers","SOYXWRU12AB01801AC","Little Brigid Flynn","TRAXLWW128F9312D64"
"1397","DMX","SOFECIK12A6701DA51","I'ma Bang","TRAXLIU128E07860D4"
"1398","The Sugarhill Gang","SONJYDQ12AB018B0F7","8th Wonder","TRAXLAY12903CA8612"
"1399","Eko Fresh feat. Summer Cem & DJ Ses","SOATICR12A8C139BDB","Mönchengladbach Love","TRAXLGO128F4295A2B"
"1400","B.B.King","SOLMDFX12A6D227250","Please Love Me","TRAXPEN128F933F4DC"
"1401","Rockin' Dopsie_ Jr._ The Zydeco Twisters","SOWCFPI12A8C135047","Lucille","TRAXPDR128F424BCD7"
"1402","Darryl Worley","SOQEDJW12A6D4FB3F3","Those Less Fortunate Than I","TRAXPJU128F148ADE8"
"1403","Ambient Music Therapy","SOBNNRV12AB0186ED3","Voice of Angels Drone for Spiritual Well Being","TRAXPDE12903CD45BE"
"1404","Natalie Cole","SOKHAHZ12A8C138045","Don't Get Around Much Anymore","TRAXPGM128F428BBA6"
"1405","Jessica Simpson","SODANQM12CF5F890BC","Be","TRAXPVO128F427C41E"
"1406","Paul Rogers","SOJLHAD12A67ADF6A9","The Hunter","TRAXPHE128F92F4100"
"1407","The Real Kids","SOGRKIL12AB017DECB","Take it slow","TRAXPCI128F92E1D13"
"1408","Peret","SOIITEQ12AB01807A2","Mi Raza","TRAXPHK128F9314DF6"
"1409","Syl Johnson","SOFDDSM12AB0182DCA","Driving Wheel","TRAXPYB128F92FA0EB"
"1410","The Impressions","SOVUWVD12AB0185694","At The County Fair - Original","TRAXWTB128F930C2E6"
"1411","John Mellencamp","SOPZQYB12AF72A186C","Peaceful World","TRAXWQU128F42716E2"
"1412","Legion Of Green Men","SOAXGWR12A8C1386B6","Tuggathanug","TRAXWKA128F425A97A"
"1413","Joe Turner","SOVPMPW12A8C139FD0","Midnight Cannonball (LP Version)","TRAXWYW128F42747C0"
"1414","Cardenales del Exito","SODQZTC12AB018882F","Lole Lolaila","TRAXWFU128F932CBA0"
"1415","Bowen_ Robin Huw","SOQPCKN12AB018AAEA","All Through The Night (Album)","TRAXWKR12903CAE160"
"1416","Mance Lipscomb","SOPGWTM12A58A79E9C","Shine On Harvest Moon (Previously Unreleased)","TRAXWIG128F4230D19"
"1417","Al De Lory","SOJYNHY12A58A7B5CD","Country Girl","TRAXWND128F428FBEB"
"1418","Greis","SOLQCJJ12AB0188587","Le Choix","TRAXWFZ128F9349D17"
"1419","Juelz Santana","SOYQNEQ12A6D4F7003","There It Go (The Whistle Song)","TRAXWLM128F1453E3B"
"1420","The Mad Capsule Markets","SONYXUW12A8C13EE49","Good Day (Live)","TRAXWGC128F428B8B2"
"1421","Wolfmother","SOFTXIE12AB017AEB1","Cosmonaut","TRAXWDS12903CEE35E"
"1422","Márcio Faraco","SOXNMHZ12AC9097DE9","Kanoê","TRAXWTA12903CF7520"
"1423","Be Bop Deluxe","SODJFJT12A6D4F67EB","Piece Of Mine","TRAXZSJ128F145B3B0"
"1424","David Lynch","SOBEUSX12AF72A5EBE","Lit'l(er) Song","TRAXZJU128F4283C85"
"1425","Mighty Diamonds","SOFBRTD12A81C20A3C","Africans","TRAXZJV128F4250DF7"
"1426","DJ Slugo","SOKMGZW12AC468A7B9","Designer Chick","TRAXZDY12903CF6D46"
"1427","Fiona","SOURQEX12AB0188474","Everything You Do [You're Sexing Me] [Duet with Kip Winger] (Album Version)","TRAXZVZ128F93442AB"
"1428","Gold City","SOSKXTH12A8C13495D","Are You Ready? (Acapella)","TRAXZFG128F42445FB"
"1429","Ini Kamoze","SOFCXZJ12AB0185D3E","Gangsta Roll","TRAXZET12903CC1964"
"1430","Dominic","SOPKLAS12AB018EEBB","Simple Plan","TRAXGHO12903CD4403"
"1431","Eric Burdon","SOKKLMZ12AB018A141","Feeling Blue","TRAXGVY128F933E9C9"
"1432","Zachary Richard","SOPEWUF12AC468E520","See You Later Alligator","TRAXGEV12903D16193"
"1433","Blind Willie McTell","SOEENNQ12A6D4FA8C7","Love Makin' Mama (Take 2)","TRAXGFM128F421EE47"
"1434","Georges Delerue","SOCCVNR12A81C230BC","Platoon - Theme","TRAXGMX128F42536FC"
"1435","Tunsi","SOAWJAQ12AB01863E0","The Paper Remix","TRAXGNO12903CBF173"
"1436","Chango Spasiuk","SOGKODD12A6D4FB0E5","Chamamé crudo","TRAXGOK128F14AA743"
"1437","Martin Sexton","SOJVLTP12A8C13C83A","Glory Bound (LP Version)","TRAXGZH128F427D44C"
"1438","Dropkick Murphys","SOVFUXP12AB018F6F0","Johnny_ I Hardly Knew Ya","TRAXGLQ12903CDBF13"
"1439","Suzi Quatro","SOMZKMJ12AB017F236","Don't Break My Heart","TRAXGIT128F92E3C04"
"1440","ÄI-TIEM","SONOVWA12A67ADA67B","Zeit für Streit","TRAXGEA128EF33F237"
"1441","Dub Wiser","SOKSCMS12A8C1318CC","Atom x","TRAXGZE128F4287B9E"
"1442","Brownie McGhee","SOTFCLG12AAA8C8768","Tell Me Baby","TRAXTTX128F9301092"
"1443","Mithotyn","SORCBQY12AB0179F6A","Let Thy Ale Swing","TRAXTAU128F930A7EF"
"1444","Josh Groban","SORJGIG12A8AE46ABB","Mi Morena (Revised Live Version)","TRAXTSU128F4241835"
"1445","Little Milton","SONPGMN12A8C1403FD","Walking The Back Streets And Crying","TRAXTQS128F428AC41"
"1446","Mons Leidvin Takle","SOBOMNB12AC4686536","Drømmen Om Deg","TRAXTAM12903CF3556"
"1447","Alacranes Musical","SOCWDKB12A58A786A8","La Segunda De Rosales (Album Version)","TRAXTXU128F42665F9"
"1448","Clifton Chenier","SOUBZKN12A6D4FB691","It's Hard","TRAXTDT128F4243F22"
"1449","Shaman","SOXVMRU12AB018A7DA","The Muddy Morning Hymn","TRAXTPZ12903CBCCB8"
"1450","Los Del Rio","SOTTZPM12A8C13DD62","Canela Pa'  Tu Boca","TRAXKHD128F429A801"
"1451","L.a. Dream Team","SODVBYU12A8C13CB5B","Rockberry Jam","TRAXKGF128F92D68E9"
"1452","Steve Porter","SOZDRYB12AB0188108","Mindless","TRAXKVO12903CD735A"
"1453","Stanley Clarke;Herbie Hancock","SOMXJIW12A8C130351","Old Friends","TRAXKXX128F4264EA1"
"1454","Jackie Edwards","SOJBTCX12AB0180CE9","Welcome You Back Home - Original","TRAXKZW128F933707A"
"1455","Michael Stanley Band","SOZOBFV12AB0181413","You're My Love","TRAXKAQ128F930BCD6"
"1456","Modern Day Escape","SODPNRD12AB017FB2F","Let's Get Sweaty","TRAXKRW128F93013DF"
"1457","Igor Stravinsky","SOWYEGG12A8C132972","Tango","TRAXKGT128F42725B8"
"1458","Channel Live","SOSHGJM12AB0184FFC","Turn It Up","TRAXKMU12903CA7328"
"1459","Blue Rodeo","SONERDT12AB017EE72","Never Look Back","TRAXKPM12903D0611E"
"1460","North Mississippi Allstars","SOJPYPL12A58A7A601","Teasin' Brown","TRAXKLH128F4289138"
"1461","Quadro Nuevo","SOUIULB12A6D4F9B17","La Muneca de Alcazar","TRAXKNA128F14ACB56"
"1462","Jimmy Page / Robert Plant","SOZKYCJ12A6D4F480A","Thank You","TRAXQZA128F1463DEB"
"1463","Kaija Koo","SONIYKB12A8C13C92A","Tule lähemmäs Beibi","TRAXQNR128F4282B06"
"1464","The Raconteurs","SOKEDWE12A6D4F9592","Broken Boy Soldier (KCRW Version)","TRAXQNF128F1486DD9"
"1465","La Charanga Rubalcaba","SOKHGKZ12A8C131E06","Los Pintores","TRAXQTH128F423995E"
"1466","Natassa Theodoridou","SODDBMC12A8C142729","Den Thelo Tipota","TRAXQTY128F92D5C64"
"1467","Juana Molina","SOVKCHA12A58A7D703","Quiero","TRAXQDR128F4260194"
"1468","Roy Carrier","SOJJTCO12A58A7932A","My Baby Don't Wear No Shoes","TRAXQPD128F424BCB9"
"1469","Dave Graney & Clare Moore","SOBKPYQ12A6D4FBE96","You Put a Spell on Me","TRAXQII128F42171C3"
"1470","Aleks Syntek","SOYORMO12A8C135428","Doesn't Matter Where You Are (Intocable)","TRAXQZC128F425D5DC"
"1471","Bone Thugs-N-Harmony","SOWRSYU12A8C13E417","Servin' Tha Fiends","TRAXQUZ128F42B77BE"
"1472","Seguridad Social","SOZTGIY12A8AE47722","Soc Mediterrani","TRAXUBQ128F4242E2F"
"1473","The Refreshments","SOPUAKC12A58A78E8F","Rock'n'Roll Heaven","TRAXUQL12903CBB3B7"
"1474","Penguin Café Orchestra","SOWZMBC12A6D4FB3BB","Bean Fields (Live) (2001 Digital Remaster)","TRAXUPL128F14A4E4B"
"1475","The Sonics","SOWBFRD12AB017EA35","Love Lights","TRAXUBG128F9332164"
"1476","The Kitchen","SOEDZOH12AC90716E2","...And He Loves It","TRAXUQB12903CF2E82"
"1477","Lili Ivanova","SOSXYFZ12AB018C70F","Izgaryam","TRAXUVK12903CEBD51"
